Sentimen,Tweet
POSITIF,PUPUK HAYATI FENG SHOU TIENS (BIOFERTILIZER) dapat memecah pestisida dengan residu sampai dengan 0%
POSITIF,Sesuai beberap pestisida organik yang pernah saya pakai kemaren saya memakai air rendaman tembakau sisa yang tidak…
NEGATIF,udh tahu pengembalian hara darimana saja? tanam brangkasan, gk pakai pupuk sintetik, apalag…
NEGATIF,Cinta itu bagai pestisida. Jika terus disiram pestisida tumbuhan aja bisa mati. Bisa keracunan. Itu juga cinta
POSITIF,digunakan sebagai pestisida untuk penanggulangan hama dan penyakit tahap awal. Sedangkan Super EM5 digunakan untuk menang…
NEGATIF,Kak ini pake pestisida gtu gaaa? Aku di rumah nanem terong pokcoy dsbnya masih kecil2 sih cuma takut kl ada ulet gtu
NEGATIF,Dimusim hujan sperti ini banyak tanamana sayuran seperti cabe, tomat, terong dll terserang busuk batang
POSITIF,Sepertinya mereka butuh pestisida
NEGATIF,pestisida anjinggg
NEGATIF,Pencemaran tanah terjadi karena: penggunaan pestisida
POSITIF,betul...semprot aja pke pestisida yg bandel2
POSITIF,Dengan sambel bebas pestisida karena ada uletnya
POSITIF,Iya anorganik. Tapi bisa diclaim sebagai free pestisida
POSITIF,Eh mksdnya organik tu gmna ya wkwkw tanpa pestisida kan
POSITIF,ini yang halu sama seokjin tlg munduran dulu dia tuh bibit unggul lah kalian pupuk pestisida
NEGATIF,Dikasih pestisida ga ngefek kah? Tomcat serangga kan? Harusnya ngefek ga sih. Haha
POSITIF,Ini adalah langkah lanjutan setelah anggur dirambatkan dan di bentuk percabangannya
POSITIF,Om tanya dong, Apakah aplikasi pupuk organik cair boleh dicampur pupuk kimia yang dikocorkan
NEGATIF,Pestisida sy hindari, dr awal tdk prnah pakai
NEGATIF,Bagaimana caranya merangkul ente? Ente kan bagai ulat bulu..dirangkul  malah bikin gatal.mending di semprot pestisida
POSITIF,Kemungkinan kak Kita memakai pestisida untuk berasnya
POSITIF,Gunakan pestisida secara legal, benar dan bijaksana
NEGATIF,wis koyo uler nek disemprot pestisida
POSITIF,buat pestisida nabati dari bawang putih buat di semprot ke sayur, mantap sekarang satu rumah bau bawang putih
NEGATIF,Jadi, istilah senyawa organik jangan dilawankan dengan senyawa sintetik, tetapi dilawankan dengan senyawa anorganik…
POSITIF,Kan tinggal semprotin pestisida
POSITIF,Kunci menghadapi resesi adalah kemandirian pangan dengan memanfaatkan potensi yang ada di sekitar kita.Lahan pekara…
NEGATIF,habis makan pestisida enakenak hambar
NEGATIF,kak, apakah kakak menggunakan pestisida untuk mengusir hama? Pestisida kan banyak yang bahaya buat lin…
NEGATIF,1 Ltr ini membantu meratakan/melekatkan pestisida kepermukaan daun yang mengandung lilin (wax coated) atau…
POSITIF,Walau krokot dianggap sebagai gulma, namun di setiap bagian tumbuhan krokot memiliki manfaat yg baik tuk pertanian sebaga…
NEGATIF,Hand sanitizer tidak efektif untuk membunuh semua jenis kuman serta menghilangkan bahan kimia berbahaya
POSITIF,Kalau bilang pestisida masih, ramuan daun pepaya dan juga minyak goreng, gula, sabun. Pupuk saya tambahi npk dan kcl
POSITIF,Pemakaian pupuk dan pestisida kimia guna mendorong peningkatan produktifitas hasil panen tanpa disadari petani tela…
POSITIF,Ya ntar kuliahnya seputar penanganan hama penyakit yg nggak ngutamain penggunaan pestisida s…
NEGATIF,Pestisida dbagi mnjadi 5 kelas, yakni kelas la (amat sangat berbahaya), kelas Ib (sangat berbahaya), kelas II
POSITIF,Yg organik. Foto no 1 jamur bs menggunakan trichoderma. Tp stahu sy fungisida organik tricho baik skali untk Fusari…
NEGATIF,Semprot pestisida wae ben mati wkwk
"POSITIF,""salah satu bahan nabati untuk pestisida. Katanya akar tuba ini cukup """"""""kuat"""""""" buat membunuh serangga. Aku…"""
POSITIF,Daun bandotan juga bisa ditumbuk terus difermentasi kak karena kandungan N yg tinggi sekaligus jadi pestisida…
POSITIF,aman dong kan udah disemprot pestisida
NEGATIF,Itu yg kadelan di base mnta gue semprot pestisida apa ya Bkin jiwa iri dan dengki gue bergejolak aja
NEGATIF,Foto no 2 adalah ulah tikus, perhatikan batang kembangkollnya. Tidak ada pestisida yg efektif. Paling efektif dengan ca…
NEGATIF,Daun bandotan juga bisa ditumbuk terus difermentasi kak karena kandungan N yg tinggi sekaligus jadi pestisida nabati
NEGATIF,Kayaknya abis ngatain tomat yang rasa pestisida jadi begini deh. Nggak lagi, ampun
NEGATIF,Siram pake pestisida ceu kalo gak semprot pake hit
NEGATIF,wkwkwk semprotttt prafum kek semprot pestisida, sorry STM cant related
POSITIF,Klo saya pake bio pestisida...bio p60 dan bio T10...berbasis bakteri dan jamur trichoderma
NEGATIF,Wah, kalo boleh tau itu kutu-kutunya dibiarin hidup dan mengundang predator apa tetep dikasih perlakuan pestisida bang
POSITIF,Setiap orang tua pasti ingin memberikan yang terbaik untuk anaknya, termasuk saat masa kehamilan ataupun menyusui
NEGATIF,pestisida, sianida, kamu jgn banyak gaya kalau cuman bisa janji janji manis saja
POSITIF,Absen kkn unnes bmc2020 episode memberi pestisida buah tomat dan membersihkan mobil pickup di desa sebelah…
NEGATIF,Babinsa Koramil Lageun Bantu Petani Semprotkan Pestisida
NEGATIF,WKKWKWKW absurd banget kepikiran aja bikin konten ginian
POSITIF,Kasih pestisida keknya mantep wkwjwj
NEGATIF,Taeyong udah kayak sayur yang disemprot pestisida
NEGATIF,Kangkung sekarang banyak mati bang gegara disiram pestisida. Makanya doi ganti haluan…
POSITIF,Tadi ngobrol panjang sama petani yang lebih sepuh. Katanya dulu ga ada pestisida, ga ada ledakan populasi hama, karena daya…
POSITIF,Hallo semua. Saya punya tanaman sayur hidroponik nih. Bebas dari pestisida pastinya. Siap di antar pas ma…
NEGATIF,Sebelum dan sesudah INSECT menyerang menggunakan Pestisida
NEGATIF,Ingin ku semprot pestisida rasanya
POSITIF,Padahal, konsumsi daging saat hamil itu penting utk menyuplai protein yg dibutuhin selama periode antenatal
NEGATIF,Bukan blm dimaksimalkan, lebih tepat tidak diperhatikan. Liat sj dilapangan, kurangnya pengawasan be…
NEGATIF,pen gw semprot pestisida mukanya
POSITIF,Minta dikasih pestisida ya
NEGATIF,Belom tau dia disemprot pestisida mati langsung
POSITIF,Bisa dg pesnab ekstrak daun kacang babi+tembakau+mimba di suntikkan/sepray atau pestisida sintetis
POSITIF,Sangat bisa kak, tapi tentu sama sekali ga bisa dengan praktik pertanian komer…
POSITIF,Mesti disemprot pestisida kalo insect bang
"POSITIF,""Sambil ngitung buah pepaya di pohon aja udah seneng banget.. Manfaatkan pekarangan dg menanami aneka buah &amp, sayur sela…"""
POSITIF,31.2 T kalau dipakai untuk membuat waduk dan irigasi teknis serta insentif petani untuk pupuk dan pesti
POSITIF,PUPUK HAYATI FENG SHOU TIENS (BIOFERTILIZER) dapat memecah pestisida dengan residu sampai dengan 0%
NEGATIF,Bakal banyak kadal keluar liang kalau disiram pestisida
POSITIF,Pke pestisida ga yang mulia
POSITIF,Ketika perusahaan pestisida berlomba mengeluarkan formula utk FAW/ulat grayak frugiperda, saya tetap kembali ke cara lama d…
POSITIF,Di akar rumput petani juga berat Pak, harga jual murah tapi pupuk dan pestisida harganya tetap. Selain i…
NEGATIF,Insect itu maksudnya dia ngomongin serangga? Basmi saja dengan pestisida
POSITIF,kelopakku harum jika sedang musim mekar, pipiku memerah jika disentuh, dan aku sangat takut terhadap pestisida. siapakah aku
POSITIF,Coba pakek pestisida sampe ke akar akarnya
POSITIF,Kalo gede biar bisa kalkulasi sendiri harga pupuk dan pestisida orang tuanya
POSITIF,Kalo gede biar bisa kalkulasi sendiri harga pupuk dan pestisida orang tuanya
NEGATIF,mas aja yang jadi parasitnya, trus aku semprot pestisida biar mati
POSITIF,next share juga dong bikin fertilizer sm pestisida alaminya hehe
POSITIF,Btw gue emang bukan susuzii yang lo tanyain sih ya, nder. Tapi makasih nih saran-sarannya, siapa tau c…
POSITIF,Aku suka banget tapi sama mamak ku gak boleh makan lagi gara2 takut tututnya kena pestisida
NEGATIF,Cinta itu bagai pestisida. Jika terus disiram pestisida tumbuhan aja bisa mati. Bisa keracunan. Itu juga cinta
NEGATIF,Gila banget ini Gw cuci strawberry pake air sama baking soda direndem gitu kan katanya supaya pestisida nya hilang
NEGATIF,Abis nyemprotin tanaman pake pestisida dari fermentasi daun bawang, baunya nempel di badan ga ilang ilang
POSITIF,Pupuk Organik dan Pestisida Alami, Tanaman Tumbuh Lebih Subur
POSITIF,Salah satu sayuran dedaunan yang kami tanam adalah selada, dibudidayakan sama sekali tanpa pestisida baik kimia sintetis at…
NEGATIF,Bisa di atas UMR kalau 1) kamu pakai pertanian alami utk mengurangi biaya pupuk pestisida 2)bisa mendistr…
NEGATIF,Yang gue tau non pesticide itu tidak pake pestisida kimia dan masih menggunakan pupuk anorganik di per…
NEGATIF,Bisa aja pestisida pengusir/repellent tanpa membunuh hama, kayak kita pake autan aja gitu contohnya
POSITIF,Mana ada.. Semua pestisida sama aja
POSITIF,Kalau mau lebih cepet bisa dipupuk mba, bisa pake pupuk organik atau kimia, kalo saya biasanya pak…
NEGATIF,Betul bung mari kita kurangi minimal dengan pestisida nabati dan semoga tanpa pestisida sama sekali. Perl…
POSITIF,Sayangnya predator alami semacam ini juga capung, predator paling efektif semakin jarang jumlahnya kare…
POSITIF,Gw ga tau standarisasi keselamatan pertanian kita kek gimana, nyimpen pupuk/pestisida ga ada standarnya, good agric…
NEGATIF,Lahan pertanian dan perkebunan umumnya memakai pestisida, herbisida dan pupuk kimia yang mencemari tanah, air dan u…
POSITIF,Ketika saya ajarin petani, biasanya sebagai bahan becanda para petanu minta diajarin ilmu Kopassus ja…
POSITIF,Interval waktu 1 minggu sekali sampai mendekati panen, atau menguning bagi biji padi. Dosis sesuai yang dianjurkan
"POSITIF,""Mimba (Azadirachta indica A. Juss, Mileaceae), merupakan salah satu tumbuhan sumber bahan pestisida (pestisida nabati)  yang…"""
POSITIF,MakananOrganik adlh sgl hasil pertnian yg dibudidayakan tidak memakai bahan kimiawi baik utk pupuk maupun pembasmi hama
NEGATIF,Pestisida dbagi mnjadi 5 kelas, yakni kelas la (amat sangat berbahaya), kelas Ib (sangat berbahaya), kelas II (berbahay…
POSITIF,Jika dibandingkan dengan pertanian yang masih menggunakan pestisida, harga jual hasil panen dari per…
NEGATIF,Ada pestisida nya, jangan ya
POSITIF,Beli produk UKM, kopi Robusta natural jamin asli petik merah non pestisida
POSITIF,Rata2 usia hidup mereka 50 thn ke atas, rentan govid-19. Hrs disemprot pakai pestisida
POSITIF,Ada efeknya, pertumbuhan lambat krn organik butuh penguraian, klo anorganik langsung diserap oleh tanaman
NEGATIF,Para Hama Negara layak di beri pestisida
POSITIF,Gunakan pestisida secara legal, benar dan bijaksana
"POSITIF,""Pas enak2 lagi berdoa sambil nyetir. Tiba2 ada tetesan air dari langit. """"""""Loh nek iki udan doaku terkabul dong hehe"""
POSITIF,selain yg disarankan pake trichoderma, apa bisa dikendalikan dgn pestisida mas? kira2 dari mana ya…
POSITIF,Interval waktu 1 minggu sekali sampai mendekati panen, atau menguning bagi biji padi. Dosis sesuai yang dianjurkan
POSITIF,Sudah aku beri pestisida kok Athy
POSITIF,Penjualan instalasi hidroponik meningkat selama covid19. Yah lumayan juga selain gabut kan enak tuh makan sayur organik tanpa pestisida wkwk
POSITIF,Gue sih ketawa aja ngeliat kak ming nyemprotin pestisida dan nawarin semprotan ke orang lain de…
NEGATIF,Setelah mmukul gua pun dipaksa buat nyemprotin pestisida. Biar seger, ga kaya lo pada susah mandinya. Mau…
NEGATIF,Apa nga takut masi ada pestisida nya
NEGATIF,SUMPAH LO TANYA BEGINI TUH TUJUANNYA APA? UNTUNG YG REP PADA CHILLS, SUMPAH SAYANG BANGET AMA PENDUDUK RAIKANTOPENI
NEGATIF,mw liat pls kt perlu ngasi pestisida rerumputan
POSITIF,Pelatihan budidaya hidroponik, pembuatan pestisida nabati dan AB MIX kegiatan pengembangan produk hidroponik pangsa…
POSITIF,ya , bisa menggerakkan motor penyiram dan semprot pestisida
NEGATIF,Saya menjual Insektisida-pestisida organik anti lalat/kutu daun/thrips
"POSITIF,""Akar Tuba, salah satu bahan nabati untuk pestisida. Katanya akar tuba ini cukup """"""""kuat"""""""" buat membunuh serangga. Aku mau coba…"""
NEGATIF,Kali ini sy akan bahas apa yg gk boleh dicampur. Susahnya ini gk ada resepnya, tergantung pd sifat masing2 bahan aktif…
NEGATIF,Sepakat lur, cuma dipakai terbatas di bbrp bedeng. Harapannya bisa lepas perlahan dari pestisida sintetis
POSITIF,Apakah ada yang sudah mencoba menanam cabai di pekarangan? Nah kali ini MinTani ingin berbagi informasi tentang pes…
NEGATIF,Semprot pestisida aja biar engga bisa numbuh lagi? Cakep ga? Wkwk
NEGATIF,Yeahhh.. Lupakan gantung diri, mengiris nadi, dan pestisida serangga. Mari mari nembak ndase dewe
NEGATIF,Jujur mas, sy gk tahu menahu tentang tanaman2 hias. Drpd sy jawab ngawur lbh baik saya bilang tidak tahu, krn sy me…
NEGATIF,Min, mau nanya dong, Untuk penggunaan domestik alias berkebun biasa aja kayak bunga-bunga hias dan…
NEGATIF,Dahulukan akal sehat ketimbang emosi agar penggunaan pestisida tidak berdampak buruk bagi PENGGUNA  KONSU…
POSITIF,Hayoo hayoo ready sayur pakcoy hidroponik, fresh, renyah dan bebas pestisida
POSITIF,Itu terserang kutu daun mas (thrips). Cara pengendaliannya bs menggunakan insektisida berbahan aktif abamectin
NEGATIF,Jika pestisida yg gk boleh dicampur tp telanjur dicampur efek pd tanaman macam2, mungkin merusak tanaman, mungkin efika…
"POSITIF,Makin hebat pemerintahan pak Jokowi,  bisa membuat """"""""cacing"""""""" pada bersatu. Akan lebih mudah pemerintah """"""""menyiram"""""""" ca…"""
POSITIF,Untuk menyelamatkan panen musim tanam (MT) II, petani mengeluarkan biaya tambahan untuk penyemprotan pestisida. Pul…
NEGATIF,Oalahhhhh iya terus kayaknya kalau msh kecil mah jgn diapa2in dulu deh maksudnya kl mau pake pestisid…
NEGATIF,Alaaaah meni sedihhh. Kemarin juga sempet pengen nyoba pisaaan itu. Tapi ga kesampean da mager
NEGATIF,Mon maap ni mbaaakkk. Jadi boleh gasi sebenernya pake sunlight buat pesti…
NEGATIF,Efek pestisida jangka panjang
POSITIF,Kalau teman-teman tertarik, silahkan buka laporan dari @ETC_Group terkait penguasaan industri terhadap benih, pupuk, pestis…
POSITIF,Ke depannya Gebby ingin petani mendapatkan literasi yang lebih mengenai penanggulangan hama danpenyakit pada tanama…
NEGATIF,Tomat cherry organik di kebun kami sudah mulai bisa dipetik untuk dikonsumsi. Sejauh ini serangan hama whitefly terkon…
POSITIF,Petani Kalbar Manfaatkan Daun Pepaya dan Sirsak untuk Pestisida
POSITIF,Basic sy pertanian hortikultura khususnya pd tnman sayuran. Tau gk tau ya hrs cari tau. Ada banyak cara untk kita menge…
POSITIF,Mas mau nanya seputar tanaman cabai. Untuk kasus seperti ini kira kira pestisida yang tepat di guna…
NEGATIF,Klo sdh resisten dng bahan aktif karbofuran ya bisa diganti dng bahan aktif lain seperti diazinon, begitu juga seba…
NEGATIF,Iya itu kayaknya dia ngequote tweet orang yg sharing pake pestisida bawang putih tp kay…
NEGATIF,Salut untuk petani Kalbar yang mulai tergerak untuk mengurangi penggunaan bahan kimia non alami, seperti pupuk anor…
NEGATIF,Jadi pengen buat postingan tentang pestisida, terutama herbisida. Setelah kecewa dengan akun panutan yang ternyata asuu
POSITIF,Basic sy pertanian hortikultura khususnya pd tnman sayuran. Tau gk tau ya hrs cari tau. Ada banyak cara untk kita menge…
